Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
151,2018-05-31,31,22,5,q2,2018,thursday,False
152,2018-06-01,1,22,6,q2,2018,friday,False
153,2018-06-02,2,22,6,q2,2018,saturday,False
154,2018-06-03,3,22,6,q2,2018,sunday,False
155,2018-06-04,4,23,6,q2,2018,monday,False
156,2018-06-05,5,23,6,q2,2018,tuesday,False
157,2018-06-06,6,23,6,q2,2018,wednesday,False
158,2018-06-07,7,23,6,q2,2018,thursday,False
159,2018-06-08,8,23,6,q2,2018,friday,False
160,2018-06-09,9,23,6,q2,2018,saturday,False
161,2018-06-10,10,23,6,q2,2018,sunday,False
162,2018-06-11,11,24,6,q2,2018,monday,False
163,2018-06-12,12,24,6,q2,2018,tuesday,False
164,2018-06-13,13,24,6,q2,2018,wednesday,False
165,2018-06-14,14,24,6,q2,2018,thursday,False
166,2018-06-15,15,24,6,q2,2018,friday,False
167,2018-06-16,16,24,6,q2,2018,saturday,False
168,2018-06-17,17,24,6,q2,2018,sunday,False
169,2018-06-18,18,25,6,q2,2018,monday,False
170,2018-06-19,19,25,6,q2,2018,tuesday,False
171,2018-06-20,20,25,6,q2,2018,wednesday,False
172,2018-06-21,21,25,6,q2,2018,thursday,False
173,2018-06-22,22,25,6,q2,2018,friday,False
174,2018-06-23,23,25,6,q2,2018,saturday,False
175,2018-06-24,24,25,6,q2,2018,sunday,False
176,2018-06-25,25,26,6,q2,2018,monday,False
177,2018-06-26,26,26,6,q2,2018,tuesday,False
178,2018-06-27,27,26,6,q2,2018,wednesday,False
179,2018-06-28,28,26,6,q2,2018,thursday,False
180,2018-06-29,29,26,6,q2,2018,friday,False
181,2018-06-30,30,26,6,q2,2018,saturday,False
182,2018-07-01,1,26,7,q3,2018,sunday,False
183,2018-07-02,2,27,7,q3,2018,monday,False
184,2018-07-03,3,27,7,q3,2018,tuesday,False
185,2018-07-04,4,27,7,q3,2018,wednesday,True
186,2018-07-05,5,27,7,q3,2018,thursday,False
187,2018-07-06,6,27,7,q3,2018,friday,False
188,2018-07-07,7,27,7,q3,2018,saturday,False
189,2018-07-08,8,27,7,q3,2018,sunday,False
190,2018-07-09,9,28,7,q3,2018,monday,False
191,2018-07-10,10,28,7,q3,2018,tuesday,False
192,2018-07-11,11,28,7,q3,2018,wednesday,False
193,2018-07-12,12,28,7,q3,2018,thursday,False
194,2018-07-13,13,28,7,q3,2018,friday,False
195,2018-07-14,14,28,7,q3,2018,saturday,False
196,2018-07-15,15,28,7,q3,2018,sunday,False
197,2018-07-16,16,29,7,q3,2018,monday,False
198,2018-07-17,17,29,7,q3,2018,tuesday,False
199,2018-07-18,18,29,7,q3,2018,wednesday,False
200,2018-07-19,19,29,7,q3,2018,thursday,False
201,2018-07-20,20,29,7,q3,2018,friday,False
202,2018-07-21,21,29,7,q3,2018,saturday,False
203,2018-07-22,22,29,7,q3,2018,sunday,False
204,2018-07-23,23,30,7,q3,2018,monday,False
205,2018-07-24,24,30,7,q3,2018,tuesday,False
206,2018-07-25,25,30,7,q3,2018,wednesday,False
207,2018-07-26,26,30,7,q3,2018,thursday,False
208,2018-07-27,27,30,7,q3,2018,friday,False
209,2018-07-28,28,30,7,q3,2018,saturday,False
210,2018-07-29,29,30,7,q3,2018,sunday,False
211,2018-07-30,30,31,7,q3,2018,monday,False
212,2018-07-31,31,31,7,q3,2018,tuesday,False
213,2018-08-01,1,31,8,q3,2018,wednesday,False
214,2018-08-02,2,31,8,q3,2018,thursday,False
215,2018-08-03,3,31,8,q3,2018,friday,False
216,2018-08-04,4,31,8,q3,2018,saturday,False
217,2018-08-05,5,31,8,q3,2018,sunday,False
218,2018-08-06,6,32,8,q3,2018,monday,False
219,2018-08-07,7,32,8,q3,2018,tuesday,False
220,2018-08-08,8,32,8,q3,2018,wednesday,False
221,2018-08-09,9,32,8,q3,2018,thursday,False
222,2018-08-10,10,32,8,q3,2018,friday,False
223,2018-08-11,11,32,8,q3,2018,saturday,False
224,2018-08-12,12,32,8,q3,2018,sunday,False
225,2018-08-13,13,33,8,q3,2018,monday,False
226,2018-08-14,14,33,8,q3,2018,tuesday,False
227,2018-08-15,15,33,8,q3,2018,wednesday,False
228,2018-08-16,16,33,8,q3,2018,thursday,False
229,2018-08-17,17,33,8,q3,2018,friday,False
230,2018-08-18,18,33,8,q3,2018,saturday,False
231,2018-08-19,19,33,8,q3,2018,sunday,False
232,2018-08-20,20,34,8,q3,2018,monday,False
233,2018-08-21,21,34,8,q3,2018,tuesday,False
234,2018-08-22,22,34,8,q3,2018,wednesday,False
235,2018-08-23,23,34,8,q3,2018,thursday,False
236,2018-08-24,24,34,8,q3,2018,friday,False
237,2018-08-25,25,34,8,q3,2018,saturday,False
238,2018-08-26,26,34,8,q3,2018,sunday,False
239,2018-08-27,27,35,8,q3,2018,monday,False
240,2018-08-28,28,35,8,q3,2018,tuesday,False
241,2018-08-29,29,35,8,q3,2018,wednesday,False
242,2018-08-30,30,35,8,q3,2018,thursday,False
243,2018-08-31,31,35,8,q3,2018,friday,False
244,2018-09-01,1,35,9,q3,2018,saturday,False
245,2018-09-02,2,35,9,q3,2018,sunday,False
246,2018-09-03,3,36,9,q3,2018,monday,True
247,2018-09-04,4,36,9,q3,2018,tuesday,False
248,2018-09-05,5,36,9,q3,2018,wednesday,False
